エリア,ポゼッション起点,EPV,観測数
自陣G前5m,ラインアウト,0.3633117056688204,47
自陣G前5m,スクラム,0.2894945602572418,82
自陣G前5m,キックレシーブ,-0.08394687552476808,121
自陣G前5m,ターンオーバー,0.1897498006587466,94
自陣G前5m,リスタート,0.2602623448576116,18
自陣G前5m,クイックタップ,0.6360085927095815,3
自陣5-22m,ラインアウト,-0.08991070717320732,202
自陣5-22m,スクラム,0.11107820408486806,244
自陣5-22m,キックレシーブ,-0.1842969551523945,627
自陣5-22m,ターンオーバー,0.06758671787125357,402
自陣5-22m,リスタート,-0.13967202025681394,770
自陣5-22m,クイックタップ,0.45735264144631915,20
自陣22m-10m,ラインアウト,0.06559076996715285,356
自陣22m-10m,スクラム,0.29341480222154986,368
自陣22m-10m,キックレシーブ,0.15198573458143172,1313
自陣22m-10m,ターンオーバー,0.33889273638799544,480
自陣22m-10m,リスタート,0.03435312322907619,566
自陣22m-10m,クイックタップ,0.44336619583029047,26
自陣10m-ハーフ,ラインアウト,0.36518616390532355,378
自陣10m-ハーフ,スクラム,0.42857940159842467,285
自陣10m-ハーフ,キックレシーブ,0.3709583186419049,703
自陣10m-ハーフ,ターンオーバー,0.4881027367216033,270
自陣10m-ハーフ,リスタート,0.5192245265880303,51
自陣10m-ハーフ,クイックタップ,0.7144550499549993,15
敵陣ハーフ-10m,ラインアウト,0.5119539078257438,497
敵陣ハーフ-10m,スクラム,0.6176104035512936,229
敵陣ハーフ-10m,キックレシーブ,0.5997921197634308,467
敵陣ハーフ-10m,ターンオーバー,0.6878415945190703,183
敵陣ハーフ-10m,リスタート,0.6098530215562488,33
敵陣ハーフ-10m,クイックタップ,0.6591954188459579,19
敵陣10-22m,ラインアウト,0.7647570332557918,784
敵陣10-22m,スクラム,0.9069727875577814,246
敵陣10-22m,キックレシーブ,0.6396160956633864,192
敵陣10-22m,ターンオーバー,0.8908658385539477,178
敵陣10-22m,リスタート,0.6017683394838274,109
敵陣10-22m,クイックタップ,0.7474408229997396,29
敵陣22m-5m,ラインアウト,1.2296656453216308,576
敵陣22m-5m,スクラム,1.1782190798386836,142
敵陣22m-5m,キックレシーブ,1.442356325284178,35
敵陣22m-5m,ターンオーバー,0.9434121810609772,62
敵陣22m-5m,リスタート,0.5732368083619478,13
敵陣22m-5m,クイックタップ,0.9204225211224095,27
敵陣G前5m,ラインアウト,1.9149139204156747,347
敵陣G前5m,スクラム,1.658778228245908,146
敵陣G前5m,キックレシーブ,1.6847340031588043,18
敵陣G前5m,ターンオーバー,0.8839249793547042,14
敵陣G前5m,リスタート,0.6895236199711909,1
敵陣G前5m,クイックタップ,0.963869699536654,17
