origin,location,side,phase_bucket,epv,observations
Lineout,Goal-5m (own),Left,1,0.3733027035400933,18
Lineout,Goal-5m (own),Left,2-3,0.4645866396960949,3
Lineout,Goal-5m (own),Left,4-6,0.7309113743172229,0
Lineout,Goal-5m (own),Left,7+,0.7474920124796608,0
Lineout,Goal-5m (own),Centre,1,0.6434908658360973,0
Lineout,Goal-5m (own),Centre,2-3,0.44740557030553896,4
Lineout,Goal-5m (own),Centre,4-6,0.7309113743172228,0
Lineout,Goal-5m (own),Centre,7+,0.7474920124796602,0
Lineout,Goal-5m (own),Right,1,0.33878982574107797,29
Lineout,Goal-5m (own),Right,2-3,0.5883553212417588,9
Lineout,Goal-5m (own),Right,4-6,0.6424667670224911,1
Lineout,Goal-5m (own),Right,7+,0.7474920124796604,0
Lineout,5m-22m (own),Left,1,-0.012901928693335285,87
Lineout,5m-22m (own),Left,2-3,0.0456904833016792,21
Lineout,5m-22m (own),Left,4-6,0.4769131840126044,3
Lineout,5m-22m (own),Left,7+,0.7456302133606256,0
Lineout,5m-22m (own),Centre,1,0.5287817880709104,0
Lineout,5m-22m (own),Centre,2-3,-0.15101281295761415,71
Lineout,5m-22m (own),Centre,4-6,0.6546313431374228,2
Lineout,5m-22m (own),Centre,7+,0.7456302133606255,0
Lineout,5m-22m (own),Right,1,-0.15906597448258206,115
Lineout,5m-22m (own),Right,2-3,0.07001434920955295,43
Lineout,5m-22m (own),Right,4-6,0.7047514012288586,6
Lineout,5m-22m (own),Right,7+,0.7456302133606256,0
Lineout,22m-10m (own),Left,1,0.11715284694172262,164
Lineout,22m-10m (own),Left,2-3,0.2161784970220602,39
Lineout,22m-10m (own),Left,4-6,0.47470921199797134,8
Lineout,22m-10m (own),Left,7+,0.7441257912900121,2
Lineout,22m-10m (own),Centre,1,0.5562981637774251,3
Lineout,22m-10m (own),Centre,2-3,0.15508302304778662,99
Lineout,22m-10m (own),Centre,4-6,0.40857658605880676,34
Lineout,22m-10m (own),Centre,7+,0.7002237348123043,18
Lineout,22m-10m (own),Right,1,0.007931912653907087,189
Lineout,22m-10m (own),Right,2-3,0.08306096886029282,50
Lineout,22m-10m (own),Right,4-6,0.706855087029414,15
Lineout,22m-10m (own),Right,7+,0.5978844488315083,3
Lineout,10m-Half (own),Left,1,0.38626157007548134,186
Lineout,10m-Half (own),Left,2-3,0.4810614934911587,32
Lineout,10m-Half (own),Left,4-6,0.5876310112423493,15
Lineout,10m-Half (own),Left,7+,0.6331039604332059,19
Lineout,10m-Half (own),Centre,1,0.637927506199224,2
Lineout,10m-Half (own),Centre,2-3,0.3707887154743984,213
Lineout,10m-Half (own),Centre,4-6,0.4112553688699429,89
Lineout,10m-Half (own),Centre,7+,0.5480173494004122,40
Lineout,10m-Half (own),Right,1,0.33886771739925436,190
Lineout,10m-Half (own),Right,2-3,0.3371369674902775,53
Lineout,10m-Half (own),Right,4-6,0.5013490846919371,19
Lineout,10m-Half (own),Right,7+,0.6460939603334731,11
Lineout,Half-10m (opp),Left,1,0.49120804502471954,251
Lineout,Half-10m (opp),Left,2-3,0.4207909692915092,48
Lineout,Half-10m (opp),Left,4-6,0.6953284655717645,52
Lineout,Half-10m (opp),Left,7+,0.5828152741848702,20
Lineout,Half-10m (opp),Centre,1,0.6638468026694132,0
Lineout,Half-10m (opp),Centre,2-3,0.6314675142438807,374
Lineout,Half-10m (opp),Centre,4-6,0.607952315834756,247
Lineout,Half-10m (opp),Centre,7+,0.5190255332861193,127
Lineout,Half-10m (opp),Right,1,0.5318930912893397,246
Lineout,Half-10m (opp),Right,2-3,0.7181415050712607,52
Lineout,Half-10m (opp),Right,4-6,0.6346301603165404,41
Lineout,Half-10m (opp),Right,7+,0.6501342349765946,24
Lineout,10m-22m (opp),Left,1,0.7731358539184844,406
Lineout,10m-22m (opp),Left,2-3,0.8506261817784773,115
Lineout,10m-22m (opp),Left,4-6,0.8390936146377932,127
Lineout,10m-22m (opp),Left,7+,0.7672144479897359,105
Lineout,10m-22m (opp),Centre,1,0.687973496344932,0
Lineout,10m-22m (opp),Centre,2-3,0.9181624622751497,768
Lineout,10m-22m (opp),Centre,4-6,0.9223432078454395,558
Lineout,10m-22m (opp),Centre,7+,0.8946162137506927,399
Lineout,10m-22m (opp),Right,1,0.7561649496859053,378
Lineout,10m-22m (opp),Right,2-3,0.9738809419278031,117
Lineout,10m-22m (opp),Right,4-6,0.9076505170084063,116
Lineout,10m-22m (opp),Right,7+,0.9676903272570685,73
Lineout,22m-5m (opp),Left,1,1.2253770780754836,286
Lineout,22m-5m (opp),Left,2-3,1.4062710625975035,141
Lineout,22m-5m (opp),Left,4-6,1.397218667562962,102
Lineout,22m-5m (opp),Left,7+,1.344167501754959,123
Lineout,22m-5m (opp),Centre,1,1.0341130186917646,2
Lineout,22m-5m (opp),Centre,2-3,1.5053255142959636,529
Lineout,22m-5m (opp),Centre,4-6,1.5450559782989337,712
Lineout,22m-5m (opp),Centre,7+,1.5710779313101493,633
Lineout,22m-5m (opp),Right,1,1.2366219138506302,288
Lineout,22m-5m (opp),Right,2-3,1.3521585720804317,154
Lineout,22m-5m (opp),Right,4-6,1.2908074014034085,85
Lineout,22m-5m (opp),Right,7+,1.552267318953237,102
Lineout,5m-Goal (opp),Left,1,2.010522912775125,167
Lineout,5m-Goal (opp),Left,2-3,1.6382987851494877,90
Lineout,5m-Goal (opp),Left,4-6,1.8490647344506603,35
Lineout,5m-Goal (opp),Left,7+,1.910624785116073,42
Lineout,5m-Goal (opp),Centre,1,0.7431470938273043,0
Lineout,5m-Goal (opp),Centre,2-3,2.397482381571821,102
Lineout,5m-Goal (opp),Centre,4-6,2.629359243808704,197
Lineout,5m-Goal (opp),Centre,7+,2.8124138294328223,292
Lineout,5m-Goal (opp),Right,1,1.8390107003301226,180
Lineout,5m-Goal (opp),Right,2-3,1.894735200600624,68
Lineout,5m-Goal (opp),Right,4-6,1.3611414735179153,31
Lineout,5m-Goal (opp),Right,7+,1.8541399332587811,33
Scrum,Goal-5m (own),Left,1,0.2840930425365709,27
Scrum,Goal-5m (own),Left,2-3,0.5035039714614061,3
Scrum,Goal-5m (own),Left,4-6,0.4925808937406469,2
